date,exchange_rate
2008-01-01,1.4721
2008-01-02,1.4688
2008-01-03,1.4753
2008-01-04,1.4727
2008-01-07,1.4723
2008-01-08,1.4705
2008-01-09,1.468
2008-01-10,1.4662
2008-01-11,1.4792
2008-01-14,1.4895
2008-01-15,1.4886
2008-01-16,1.4792
2008-01-17,1.4691
2008-01-18,1.4674
2008-01-21,1.4482
2008-01-22,1.4494
2008-01-23,1.4574
2008-01-24,1.4663
2008-01-25,1.4705
2008-01-28,1.4755
2008-01-29,1.4773
2008-01-30,1.481
2008-01-31,1.487
2008-02-01,1.4889
2008-02-04,1.4829
2008-02-05,1.4688
2008-02-06,1.4621
2008-02-07,1.4569
2008-02-08,1.4513
2008-02-11,1.4542
2008-02-12,1.4538
2008-02-13,1.4586
2008-02-14,1.4626
2008-02-15,1.4674
2008-02-18,1.4636
2008-02-19,1.4742
2008-02-20,1.4656
2008-02-21,1.4736
2008-02-22,1.4848
2008-02-25,1.4817
2008-02-26,1.4874
2008-02-27,1.5044
2008-02-28,1.5121
2008-02-29,1.5167
2008-03-03,1.5203
2008-03-04,1.5206
2008-03-05,1.5196
2008-03-06,1.5319
2008-03-07,1.5417
2008-03-10,1.534
2008-03-11,1.5379
2008-03-12,1.5477
2008-03-13,1.5577
2008-03-14,1.5561
2008-03-17,1.577
2008-03-18,1.5771
2008-03-19,1.5692
2008-03-20,1.5423
2008-03-21,1.5423
2008-03-24,1.5423
2008-03-25,1.5569
2008-03-26,1.571
2008-03-27,1.5786
2008-03-28,1.5796
2008-03-31,1.5812
2008-04-01,1.566
2008-04-02,1.5632
2008-04-03,1.5526
2008-04-04,1.5722
2008-04-07,1.5693
2008-04-08,1.5694
2008-04-09,1.5726
2008-04-10,1.5875
2008-04-11,1.5833
2008-04-14,1.5869
2008-04-15,1.5828
2008-04-16,1.5928
2008-04-17,1.5872
2008-04-18,1.578
2008-04-21,1.5898
2008-04-22,1.5931
2008-04-23,1.594
2008-04-24,1.5769
2008-04-25,1.5596
2008-04-28,1.5628
2008-04-29,1.5571
2008-04-30,1.554
2008-05-01,1.554
2008-05-02,1.5458
2008-05-05,1.546
2008-05-06,1.5528
2008-05-07,1.543
2008-05-08,1.5347
2008-05-09,1.5458
2008-05-12,1.543
2008-05-13,1.5473
2008-05-14,1.5439
2008-05-15,1.5474
2008-05-16,1.5498
2008-05-19,1.5577
2008-05-20,1.5639
2008-05-21,1.5753
2008-05-22,1.5755
2008-05-23,1.5742
2008-05-26,1.5761
2008-05-27,1.576
2008-05-28,1.5656
2008-05-29,1.5551
2008-05-30,1.5508
2008-06-02,1.5521
2008-06-03,1.5593
2008-06-04,1.5466
2008-06-05,1.5402
2008-06-06,1.5597
2008-06-09,1.5784
2008-06-10,1.5526
2008-06-11,1.5515
2008-06-12,1.5417
2008-06-13,1.5336
2008-06-16,1.5459
2008-06-17,1.5477
2008-06-18,1.5493
2008-06-19,1.5481
2008-06-20,1.561
2008-06-23,1.5521
2008-06-24,1.5568
2008-06-25,1.5599
2008-06-26,1.5731
2008-06-27,1.5748
2008-06-30,1.5764
2008-07-01,1.5775
2008-07-02,1.5806
2008-07-03,1.5885
2008-07-04,1.5671
2008-07-07,1.5651
2008-07-08,1.5687
2008-07-09,1.5715
2008-07-10,1.5708
2008-07-11,1.5835
2008-07-14,1.5847
2008-07-15,1.599
2008-07-16,1.5888
2008-07-17,1.5849
2008-07-18,1.5816
2008-07-21,1.5858
2008-07-22,1.5919
2008-07-23,1.5741
2008-07-24,1.5677
2008-07-25,1.5734
2008-07-28,1.5746
2008-07-29,1.5705
2008-07-30,1.5589
2008-07-31,1.5611
2008-08-01,1.5574
2008-08-04,1.5566
2008-08-05,1.5487
2008-08-06,1.5478
2008-08-07,1.5471
2008-08-08,1.5074
2008-08-11,1.5012
2008-08-12,1.4907
2008-08-13,1.4903
2008-08-14,1.4907
2008-08-15,1.4729
2008-08-18,1.4704
2008-08-19,1.4677
2008-08-20,1.4734
2008-08-21,1.4814
2008-08-22,1.4808
2008-08-25,1.4767
2008-08-26,1.4598
2008-08-27,1.4767
2008-08-28,1.4771
2008-08-29,1.4735
2008-09-01,1.4621
2008-09-02,1.4516
2008-09-03,1.4441
2008-09-04,1.4488
2008-09-05,1.4247
2008-09-08,1.4214
2008-09-09,1.4144
2008-09-10,1.4094
2008-09-11,1.3934
2008-09-12,1.4066
2008-09-15,1.4151
2008-09-16,1.4267
2008-09-17,1.4224
2008-09-18,1.4502
2008-09-19,1.4236
2008-09-22,1.4571
2008-09-23,1.4731
2008-09-24,1.469
2008-09-25,1.47
2008-09-26,1.464
2008-09-29,1.4349
2008-09-30,1.4303
2008-10-01,1.4081
2008-10-02,1.3903
2008-10-03,1.3834
2008-10-06,1.3634
2008-10-07,1.3632
2008-10-08,1.3731
2008-10-09,1.3682
2008-10-10,1.3579
2008-10-13,1.3639
2008-10-14,1.3752
2008-10-15,1.3625
2008-10-16,1.3507
2008-10-17,1.3404
2008-10-20,1.3424
2008-10-21,1.3184
2008-10-22,1.2843
2008-10-23,1.281
2008-10-24,1.2596
2008-10-27,1.246
2008-10-28,1.2526
2008-10-29,1.277
2008-10-30,1.3035
2008-10-31,1.2757
2008-11-03,1.2822
2008-11-04,1.282
2008-11-05,1.287
2008-11-06,1.277
2008-11-07,1.2756
2008-11-10,1.2891
2008-11-11,1.2747
2008-11-12,1.253
2008-11-13,1.2525
2008-11-14,1.2675
2008-11-17,1.266
2008-11-18,1.2653
2008-11-19,1.2634
2008-11-20,1.2542
2008-11-21,1.2602
2008-11-24,1.2773
2008-11-25,1.2811
2008-11-26,1.2935
2008-11-27,1.29
2008-11-28,1.2727
2008-12-01,1.2608
2008-12-02,1.2697
2008-12-03,1.2623
2008-12-04,1.262
2008-12-05,1.2665
2008-12-08,1.2854
2008-12-09,1.2838
2008-12-10,1.2925
2008-12-11,1.3215
2008-12-12,1.334
2008-12-15,1.351
2008-12-16,1.369
2008-12-17,1.4059
2008-12-18,1.4616
2008-12-19,1.394
2008-12-22,1.397
2008-12-23,1.3978
2008-12-24,1.4005
2008-12-25,1.4005
2008-12-26,1.4005
2008-12-29,1.427
2008-12-30,1.4098
2008-12-31,1.3917
