date,exchange_rate
2006-01-02,1.1826
2006-01-03,1.1875
2006-01-04,1.2083
2006-01-05,1.2088
2006-01-06,1.2093
2006-01-09,1.2078
2006-01-10,1.2064
2006-01-11,1.2088
2006-01-12,1.2113
2006-01-13,1.2039
2006-01-16,1.2112
2006-01-17,1.2075
2006-01-18,1.2125
2006-01-19,1.2073
2006-01-20,1.2068
2006-01-23,1.2277
2006-01-24,1.2272
2006-01-25,1.2294
2006-01-26,1.2254
2006-01-27,1.2172
2006-01-30,1.2082
2006-01-31,1.2118
2006-02-01,1.2092
2006-02-02,1.2066
2006-02-03,1.2061
2006-02-06,1.1981
2006-02-07,1.1973
2006-02-08,1.1948
2006-02-09,1.1972
2006-02-10,1.197
2006-02-13,1.1888
2006-02-14,1.1898
2006-02-15,1.1904
2006-02-16,1.1858
2006-02-17,1.1863
2006-02-20,1.1932
2006-02-21,1.1906
2006-02-22,1.1875
2006-02-23,1.1957
2006-02-24,1.1896
2006-02-27,1.1852
2006-02-28,1.1875
2006-03-01,1.1954
2006-03-02,1.1921
2006-03-03,1.202
2006-03-06,1.2017
2006-03-07,1.1913
2006-03-08,1.1914
2006-03-09,1.192
2006-03-10,1.1919
2006-03-13,1.1922
2006-03-14,1.1948
2006-03-15,1.2026
2006-03-16,1.2069
2006-03-17,1.2185
2006-03-20,1.2174
2006-03-21,1.2144
2006-03-22,1.2069
2006-03-23,1.2055
2006-03-24,1.1969
2006-03-27,1.2025
2006-03-28,1.2084
2006-03-29,1.2012
2006-03-30,1.2096
2006-03-31,1.2104
2006-04-03,1.2063
2006-04-04,1.2217
2006-04-05,1.2262
2006-04-06,1.2312
2006-04-07,1.2179
2006-04-10,1.2099
2006-04-11,1.2105
2006-04-12,1.2125
2006-04-13,1.2094
2006-04-14,1.2094
2006-04-17,1.2094
2006-04-18,1.2252
2006-04-19,1.2346
2006-04-20,1.2346
2006-04-21,1.2315
2006-04-24,1.2365
2006-04-25,1.2425
2006-04-26,1.2425
2006-04-27,1.2414
