date,exchange_rate
2007-01-01,1.317
2007-01-02,1.327
2007-01-03,1.3231
2007-01-04,1.3106
2007-01-05,1.3084
2007-01-08,1.3006
2007-01-09,1.3018
2007-01-10,1.2988
2007-01-11,1.2984
2007-01-12,1.2893
2007-01-15,1.2941
2007-01-16,1.2953
2007-01-17,1.2909
2007-01-18,1.2922
2007-01-19,1.2958
2007-01-22,1.2936
2007-01-23,1.304
2007-01-24,1.3005
2007-01-25,1.2978
2007-01-26,1.2901
2007-01-29,1.2921
2007-01-30,1.2972
2007-01-31,1.2954
2007-02-01,1.302
2007-02-02,1.302
2007-02-05,1.2925
2007-02-06,1.2955
2007-02-07,1.2987
2007-02-08,1.2991
2007-02-09,1.3007
2007-02-12,1.2956
2007-02-13,1.3022
2007-02-14,1.3082
2007-02-15,1.3137
2007-02-16,1.3119
2007-02-19,1.3132
2007-02-20,1.3145
2007-02-21,1.3145
2007-02-22,1.3106
2007-02-23,1.3134
2007-02-26,1.316
2007-02-27,1.323
2007-02-28,1.3211
2007-03-01,1.3225
2007-03-02,1.3163
2007-03-05,1.3083
2007-03-06,1.31
2007-03-07,1.3135
2007-03-08,1.3152
2007-03-09,1.3155
2007-03-12,1.3156
2007-03-13,1.3218
2007-03-14,1.3183
2007-03-15,1.3226
2007-03-16,1.3325
2007-03-19,1.3303
2007-03-20,1.3296
2007-03-21,1.3293
2007-03-22,1.3351
2007-03-23,1.3327
2007-03-26,1.3265
2007-03-27,1.3347
2007-03-28,1.3348
2007-03-29,1.3352
2007-03-30,1.3318
2007-04-02,1.3366
2007-04-03,1.3358
2007-04-04,1.3352
2007-04-05,1.3373
2007-04-06,1.3373
2007-04-09,1.3373
2007-04-10,1.3426
2007-04-11,1.3418
2007-04-12,1.3467
2007-04-13,1.3532
2007-04-16,1.355
2007-04-17,1.3549
2007-04-18,1.3577
2007-04-19,1.3601
2007-04-20,1.3606
2007-04-23,1.3557
2007-04-24,1.3582
2007-04-25,1.3649
2007-04-26,1.3596
2007-04-27,1.3643
2007-04-30,1.3605
2007-05-01,1.3605
2007-05-02,1.3588
2007-05-03,1.3613
2007-05-04,1.3561
2007-05-07,1.3615
2007-05-08,1.3558
2007-05-09,1.3535
2007-05-10,1.3527
2007-05-11,1.3486
2007-05-14,1.3549
2007-05-15,1.3538
2007-05-16,1.3574
2007-05-17,1.3516
2007-05-18,1.3477
2007-05-21,1.3444
2007-05-22,1.3454
2007-05-23,1.349
2007-05-24,1.3448
2007-05-25,1.3441
2007-05-28,1.3453
2007-05-29,1.3509
2007-05-30,1.342
2007-05-31,1.3453
2007-06-01,1.3436
2007-06-04,1.3482
2007-06-05,1.3532
2007-06-06,1.3513
2007-06-07,1.347
2007-06-08,1.3349
2007-06-11,1.3355
2007-06-12,1.3345
2007-06-13,1.3287
2007-06-14,1.3304
2007-06-15,1.3314
2007-06-18,1.3404
2007-06-19,1.3403
2007-06-20,1.3427
2007-06-21,1.3397
2007-06-22,1.3441
2007-06-25,1.3461
2007-06-26,1.346
2007-06-27,1.3438
2007-06-28,1.3467
2007-06-29,1.3505
2007-07-02,1.3588
2007-07-03,1.3601
2007-07-04,1.3618
2007-07-05,1.364
2007-07-06,1.3596
2007-07-09,1.3621
2007-07-10,1.3666
2007-07-11,1.3753
2007-07-12,1.3788
2007-07-13,1.3782
2007-07-16,1.3781
2007-07-17,1.3771
