date,exchange_rate
2001-01-01,9.490918860827513
2001-01-02,9.432240263185822
2001-01-03,9.387932843651626
2001-01-04,9.42620004229224
2001-01-05,9.357778941854374
2001-01-08,9.401495209013373
2001-01-09,9.52026380172322
2001-01-10,9.48076923076923
2001-01-11,9.332668276803528
2001-01-12,9.27920377160817
2001-01-15,9.40761561306746
2001-01-16,9.487356566085849
2001-01-17,9.506172839506174
2001-01-18,9.492769034453424
2001-01-19,9.454255319148936
2001-01-22,9.61517761033369
2001-01-23,9.523758902944616
2001-01-24,9.586830213040672
2001-01-25,9.731029958451783
2001-01-26,9.651928912006936
2001-01-29,9.637767866855215
2001-01-30,9.612699793410895
2001-01-31,9.51199827827397
2001-02-01,9.458643419094196
2001-02-02,9.475922185606462
2001-02-05,9.481485411140582
2001-02-06,9.565007509118214
2001-02-07,9.557640750670242
2001-02-08,9.630694143167029
2001-02-09,9.658068711390484
2001-02-12,9.63501291989664
2001-02-13,9.695956873315364
2001-02-14,9.844737415558948
2001-02-15,9.92079207920792
2001-02-16,9.833753977833863
2001-02-19,9.761206990122654
2001-02-20,9.883682469680263
2001-02-21,9.845834244478462
2001-02-22,9.996466431095406
2001-02-23,10.019638128861429
2001-02-26,9.909939593629874
2001-02-27,9.861399105096584
2001-02-28,9.795415224913494
2001-03-01,9.761247167979286
2001-03-02,9.656093132542988
2001-03-05,9.743471252015047
2001-03-06,9.736717318676583
2001-03-07,9.728161598796605
2001-03-08,9.720038659793813
2001-03-09,9.710377257668057
2001-03-12,9.82830025884383
2001-03-13,9.971745272766789
2001-03-14,9.99749509910695
2001-03-15,10.091571050308914
2001-03-16,10.221303230133005
2001-03-19,10.157069808803913
2001-03-20,10.137472283813747
2001-03-21,10.219688542825361
2001-03-22,10.394082573967825
2001-03-23,10.292871553463348
2001-03-26,10.227196418578623
2001-03-27,10.188784629133155
2001-03-28,10.31354401805869
2001-03-29,10.399886877828054
2001-03-30,10.367980072463768
2001-04-02,10.427496580027361
2001-04-03,10.366308648954213
2001-04-04,10.215899025686449
2001-04-05,10.189578713968958
2001-04-06,10.224272930648768
2001-04-09,10.087491683300065
2001-04-10,10.138624930128564
2001-04-11,10.195135746606335
2001-04-12,10.171770821561758
2001-04-13,10.171770821561758
2001-04-16,10.171770821561758
2001-04-17,10.300307132294392
2001-04-18,10.304739120528595
2001-04-19,10.220913107511045
2001-04-20,10.117921904550006
2001-04-23,10.147189513441457
2001-04-24,10.2150897135852
2001-04-25,10.24477478484408
2001-04-26,10.159991123932098
2001-04-27,10.10694890834534
2001-04-30,10.267575484452458
2001-05-01,10.267575484452458
2001-05-02,10.270349163579207
2001-05-03,10.241491632034146
2001-05-04,10.21959950777492
2001-05-07,10.212916246215944
2001-05-08,10.271712158808931
2001-05-09,10.327404554208677
2001-05-10,10.251412429378531
2001-05-11,10.223982674113758
2001-05-14,10.294453973699255
2001-05-15,10.264028284671532
2001-05-16,10.268508037129273
2001-05-17,10.245830969937607
2001-05-18,10.267745243249403
2001-05-21,10.258167694768106
2001-05-22,10.331030512377662
2001-05-23,10.543389633080956
2001-05-24,10.482914923291492
2001-05-25,10.537190082644628
2001-05-28,10.553937558247902
2001-05-29,10.564780168381665
2001-05-30,10.609955597102127
2001-05-31,10.76061320754717
2001-06-01,10.819179051663127
2001-06-04,10.853988018324916
2001-06-05,10.916952155936206
2001-06-06,10.801240781926722
2001-06-07,11.006614694070398
2001-06-08,11.009565422768068
2001-06-11,10.96185542736049
2001-06-12,10.99834788765636
2001-06-13,10.841137906813394
2001-06-14,10.893900141309468
2001-06-15,10.574924959593627
2001-06-18,10.604824612516024
2001-06-19,10.594301062711667
2001-06-20,10.705861623399507
2001-06-21,10.696328344246961
2001-06-22,10.730534709193245
2001-06-25,10.630300917857557
2001-06-26,10.706305887817908
2001-06-27,10.71677105080028
2001-06-28,10.800728469040067
2001-06-29,10.863797169811322
2001-07-02,10.919692489651093
2001-07-03,10.876309285630223
2001-07-04,10.887495563705194
2001-07-05,10.949893137022086
2001-07-06,11.041865458015266
2001-07-09,10.99479843953186
2001-07-10,10.869748390871854
2001-07-11,10.81918476367437
2001-07-12,10.847973764347623
2001-07-13,10.811570441503688
2001-07-16,10.731329372014446
2001-07-17,10.821042743071864
2001-07-18,10.696871378910778
2001-07-19,10.611601513240858
2001-07-20,10.55503646308113
2001-07-23,10.708506224066388
2001-07-24,10.693385392742305
2001-07-25,10.630274081655864
2001-07-26,10.612619808306711
2001-07-27,10.586792883211679
2001-07-30,10.577076905496515
2001-07-31,10.597944031981724
2001-08-01,10.558239764092095
2001-08-02,10.501820664542556
2001-08-03,10.415739268680445
2001-08-06,10.407382169222034
2001-08-07,10.479584854014597
2001-08-08,10.442656624443684
2001-08-09,10.361911216536768
2001-08-10,10.272493285586394
2001-08-13,10.237904571237905
2001-08-14,10.270963425512935
2001-08-15,10.159425060346718
2001-08-16,10.124781277340333
2001-08-17,10.215583278616768
2001-08-20,10.300032790468904
2001-08-21,10.331945661700262
2001-08-22,10.276367187500002
2001-08-23,10.342405618964003
2001-08-24,10.3066534914361
2001-08-27,10.322222222222221
2001-08-28,10.358327803583277
2001-08-29,10.332163999123
2001-08-30,10.408905992303465
2001-08-31,10.41111596418432
2001-09-03,10.482694003527337
2001-09-04,10.648494983277592
2001-09-05,10.7035204139017
2001-09-06,10.674195369847544
2001-09-07,10.60656836461126
2001-09-10,10.545595224936443
2001-09-11,10.595046854083
2001-09-12,10.579871851524524
2001-09-13,10.577483443708608
2001-09-14,10.403622952597896
2001-09-17,10.475240047470063
