date,exchange_rate
2011-01-03,1.3348
2011-01-04,1.3421
2011-01-05,1.3213
2011-01-06,1.3091
2011-01-07,1.2961
2011-01-10,1.2903
2011-01-11,1.2948
2011-01-12,1.2973
2011-01-13,1.3199
2011-01-14,1.3349
2011-01-17,1.3311
2011-01-18,1.3371
2011-01-19,1.3506
2011-01-20,1.3472
2011-01-21,1.3521
2011-01-24,1.3571
2011-01-25,1.3596
2011-01-26,1.3681
2011-01-27,1.3716
2011-01-28,1.371
2011-01-31,1.3692
2011-02-01,1.3755
2011-02-02,1.3803
2011-02-03,1.3745
2011-02-04,1.3631
2011-02-07,1.3553
2011-02-08,1.3635
2011-02-09,1.3647
2011-02-10,1.3604
2011-02-11,1.3524
2011-02-14,1.344
2011-02-15,1.351
2011-02-16,1.351
2011-02-17,1.356
2011-02-18,1.3627
2011-02-21,1.3668
2011-02-22,1.3667
2011-02-23,1.3731
2011-02-24,1.3773
2011-02-25,1.3762
2011-02-28,1.3834
2011-03-01,1.3825
2011-03-02,1.3809
2011-03-03,1.385
2011-03-04,1.3957
2011-03-07,1.4028
2011-03-08,1.3898
2011-03-09,1.3928
2011-03-10,1.3817
2011-03-11,1.3773
2011-03-14,1.3948
2011-03-15,1.3884
2011-03-16,1.3951
2011-03-17,1.4004
2011-03-18,1.413
2011-03-21,1.4194
2011-03-22,1.4211
2011-03-23,1.4136
2011-03-24,1.4128
2011-03-25,1.4115
2011-03-28,1.4032
2011-03-29,1.4066
2011-03-30,1.409
2011-03-31,1.4207
2011-04-01,1.4141
2011-04-04,1.424
2011-04-05,1.4166
2011-04-06,1.43
2011-04-07,1.4283
2011-04-08,1.4401
2011-04-11,1.4434
2011-04-12,1.447
2011-04-13,1.4493
2011-04-14,1.4401
2011-04-15,1.445
2011-04-18,1.4275
2011-04-19,1.4302
2011-04-20,1.4515
2011-04-21,1.4584
2011-04-22,1.4584
2011-04-25,1.4584
2011-04-26,1.4617
2011-04-27,1.4668
2011-04-28,1.4794
2011-04-29,1.486
2011-05-02,1.4837
2011-05-03,1.478
2011-05-04,1.4882
2011-05-05,1.4814
2011-05-06,1.4501
2011-05-09,1.4397
